name,type,mgmt_ip,site,layer,vendor,model
INTERNET,internet,,WAN,wan,,
MPLS-CLOUD,cloud,,WAN,wan,STC,
JCC-FGT01,firewall,10.10.0.1,JCC,edge,Fortinet,FortiGate-200F
JCC-CORE01,l3-switch,10.10.0.2,JCC,core,Cisco,WS-C3750G
JCC-ACC-SW01,l2-switch,10.10.0.11,JCC,access,Cisco,WS-C2960
JCC-ACC-SW02,l2-switch,10.10.0.12,JCC,access,Cisco,WS-C2960
JCC-ESX01,hypervisor,10.10.0.21,JCC,access,VMware,ESXi 7
JCC-VEEAM01,server,10.10.0.31,JCC,access,Dell,R740
JCC-AP01,access-point,10.10.0.41,JCC,access,Cisco,AIR-2802
RBG-FGT01,firewall,10.20.0.1,RBG,edge,Fortinet,FortiGate-100F
RBG-CORE01,l3-switch,10.20.0.2,RBG,core,Cisco,WS-C3750G
RBG-ACC-SW01,l2-switch,10.20.0.11,RBG,access,Cisco,WS-C2960
