source,target,source_if,target_if,speed,media,link_type,stp_state,vlan,subnet,status,provider,circuit_id,description
HQ-FGT01,INTERNET,wan1,,1G,fiber-sm,physical,n/a,,203.0.113.0/29,up,ISP-A,CKT-1001,Primary internet
HQ-FGT01,MPLS-CLOUD,wan2,,100M,fiber-sm,physical,n/a,,10.99.1.0/30,up,Carrier-A,MPLS-HQ-01,MPLS access circuit
BR-FGT01,MPLS-CLOUD,wan2,,100M,fiber-sm,physical,n/a,,10.99.2.0/30,up,Carrier-A,MPLS-BR-01,MPLS access circuit
BR-FGT01,INTERNET,wan1,,500M,fiber-sm,physical,n/a,,198.51.100.0/29,up,ISP-B,CKT-2001,BR internet
HQ-FGT01,BR-FGT01,,,100M,virtual,mpls,n/a,,10.255.0.0/30,up,Carrier-A,,BGP over MPLS
HQ-FGT01,BR-FGT01,,,,virtual,ipsec,n/a,,10.255.1.0/30,up,,,IPSec failover tunnel over internet
HQ-FGT01,HQ-CORE01,port1,Gi1/0/48,1G,copper,physical,forwarding,1-4094,,up,,,Core uplink trunk
HQ-CORE01,HQ-ACC-SW01,Gi1/0/1,Gi0/48,1G,fiber-mm,physical,forwarding,"10,20,30",,up,,,Access uplink
HQ-CORE01,HQ-ACC-SW02,Gi1/0/2,Gi0/48,1G,fiber-mm,physical,forwarding,"10,20,30",,up,,,Access uplink
HQ-ACC-SW01,HQ-ACC-SW02,Gi0/47,Gi0/47,1G,copper,physical,blocked,"10,20,30",,up,,,Redundant inter-switch link
HQ-CORE01,HQ-ESX01,Gi1/0/10,vmnic0,10G,dac,physical,forwarding,"20,30",,up,,,ESXi trunk
HQ-CORE01,HQ-VEEAM01,Gi1/0/11,eth0,1G,copper,physical,forwarding,30,,up,,,Backup server
HQ-ACC-SW01,HQ-AP01,Gi0/10,eth0,1G,copper,physical,forwarding,"10,40",,up,,,AP trunk
BR-FGT01,BR-CORE01,port1,Gi1/0/48,1G,copper,physical,forwarding,1-4094,,up,,,Core uplink
BR-CORE01,BR-ACC-SW01,Gi1/0/1,Gi0/48,1G,fiber-mm,physical,forwarding,"10,20",,up,,,Access uplink
HQ-CORE01,BR-CORE01,,,,virtual,logical,n/a,,10.254.0.0/30,planned,,,Future L3 DCI
