name,type,mgmt_ip,site,layer,vendor,model
INTERNET,internet,,WAN,wan,,
MPLS-CLOUD,cloud,,WAN,wan,Carrier-A,
HQ-FGT01,firewall,10.10.0.1,HQ,edge,Fortinet,FortiGate-200F
HQ-CORE01,l3-switch,10.10.0.2,HQ,core,Cisco,WS-C3750G
HQ-ACC-SW01,l2-switch,10.10.0.11,HQ,access,Cisco,WS-C2960
HQ-ACC-SW02,l2-switch,10.10.0.12,HQ,access,Cisco,WS-C2960
HQ-ESX01,hypervisor,10.10.0.21,HQ,access,VMware,ESXi 7
HQ-VEEAM01,server,10.10.0.31,HQ,access,Dell,R740
HQ-AP01,access-point,10.10.0.41,HQ,access,Cisco,AIR-2802
BR-FGT01,firewall,10.20.0.1,BR,edge,Fortinet,FortiGate-100F
BR-CORE01,l3-switch,10.20.0.2,BR,core,Cisco,WS-C3750G
BR-ACC-SW01,l2-switch,10.20.0.11,BR,access,Cisco,WS-C2960
